delta_mass_r2	counts	scans	cluster	precmz	name	delta_mass	delta_MF_final	delta_MF_unique_combination	mass_defect	scaled_counts
179.1	16	16731	17965	341.2077	"Candidate Carnitine (delta mass 179.0952; sirius atomic difference: 10C, 13H, 1N, 2O; buddy atomic difference: 10C, 13H, 1N, 2O; literature atomic difference: 10C, 13H, 1N, 2O)"	179.0952	C10H13NO2	CHNO	0.000293077	22.097291
180.06	908	16756	17994	342.17346	"Candidate Carnitine (delta mass 180.061; buddy atomic difference: 10C, 12H, 1O, 1S; literature atomic difference: 10C, 12H, 1O, 1S)"	180.061	C10H12OS	CHOS	0.00017535	146.8161957
180.07	3	16762	18000	342.17999	"Candidate Carnitine (delta mass 180.0675; literature atomic difference: 10C, 12H, 1O, 1S)"	180.0675	C10H12OS	CHOS	0.000204571	20.2796388
180.13	53	16838	18077	342.23788	"Candidate Carnitine (delta mass 180.1254; sirius atomic difference: 10C, 16H, 2N, 1O; buddy atomic difference: 10C, 16H, 2N, 1O; literature atomic difference: 10C, 16H, 2N, 1O)"	180.1254	C10H16N2O	CHNO	0.000379853	27.2706088
181.11	595	17034	18285	343.22281	"Candidate Carnitine (delta mass 181.1103; sirius atomic difference: 10C, 15H, 1N, 2O; buddy atomic difference: 10C, 15H, 1N, 2O; literature atomic difference: 10C, 15H, 1N, 2O)"	181.1103	C10H15NO2	CHNO	0.000320492	103.0527236
184.07	2	17577	18843	346.18268	"Candidate Carnitine (delta mass 184.0702; sirius atomic difference: 8C, 12H, 2N, 1O, 1S; literature atomic difference: 9C, 12H, 4O)"	184.0702	C8H12N2OS	CHNOS	0.000202205	20.1398194
184.11	2	17735	19001	346.22467	"Candidate Carnitine (delta mass 184.1122; sirius atomic difference: 12C, 12H, 2N; literature atomic difference: 10C, 16H, 3O)"	184.1122	C12H12N2	CHN	0.000317713	20.1398194
188.12	4	17848	19140	350.23001	"Candidate Carnitine (delta mass 188.1175; sirius atomic difference: 8C, 16H, 2N, 3O; literature atomic difference: 13C, 16H, 1O)"	188.1175	C8H16N2O3	CHNO	0.000342632	20.4194582
189.04	17	17863	19158	351.15692	"Candidate Carnitine (delta mass 189.0444; literature atomic difference: 7C, 11H, 1N, 3O, 1S)"	189.0444	C7H11NO3S	CHNOS	0.000113909	22.2371104
189.05	439	17861	19156	351.16	"Candidate Carnitine (delta mass 189.0475; sirius atomic difference: 7C, 11H, 1N, 3O, 1S; literature atomic difference: 7C, 11H, 1N, 3O, 1S)"	189.0475	C7H11NO3S	CHNOS	0.000142385	81.24089717
200.12	142	18950	20323	362.23563	"Candidate Carnitine (delta mass 200.1231; literature atomic difference: 11C, 20H, 1O, 1S)"	200.1231	C11H20OS	CHOS	0.000331276	39.71453539
200.13	5	18953	20326	362.2402	"Candidate Carnitine (delta mass 200.1277; literature atomic difference: 11C, 20H, 1O, 1S)"	200.1277	C11H20OS	CHOS	0.000358878	20.5592776
203.06	579	18978	20399	365.17001	"Candidate Carnitine (delta mass 203.0575; sirius atomic difference: 8C, 13H, 1N, 3O, 1S; literature atomic difference: 8C, 13H, 1N, 3O, 1S)"	203.0575	C8H13NO3S	CHNOS	0.000164307	100.8156132
203.07	2	18989	20410	365.17996	"Candidate Carnitine (delta mass 203.0675; literature atomic difference: 8C, 13H, 1N, 3O, 1S)"	203.0675	C8H13NO3S	CHNOS	0.000191686	20.1398194
204.09	88	19007	20432	366.20001	"Candidate Carnitine (delta mass 204.0875; sirius atomic difference: 10C, 17H, 1Cl, 2O; literature atomic difference: 10C, 1Cl, 17H, 2O)"	204.0875	C10H17ClO2	CHClO	0.000245767	32.16428779
212.1	11	20578	22054	374.21408	"Candidate Carnitine (delta mass 212.1016; sirius atomic difference: 10C, 16H, 2N, 1O, 1S; literature atomic difference: 11C, 16H, 4O)"	212.1016	C10H16N2OS	CHNOS	0.000267227	21.398194
213.99	112	20689	22175	376.10596	"Candidate Carnitine (delta mass 213.9935; sirius atomic difference: 8C, 6H, 5O, 1S; literature atomic difference: 8C, 6H, 5O, 1S)"	213.9935	C8H6O5S	CHOS	-2.66E-05	35.51995339
217.08	13	20725	22221	379.19019	"Candidate Carnitine (delta mass 217.0777; literature atomic difference: 9C, 15H, 1N, 3O, 1S)"	217.0777	C9H15NO3S	CHNOS	0.000210976	21.6778328
218.09	18	20839	22340	380.20544	"Candidate Carnitine (delta mass 218.0929; sirius atomic difference: 9C, 10H, 6N, 1O; literature atomic difference: 13C, 14H, 3O)"	218.0929	C9H10N6O	CHNO	0.000236714	22.3769298
224.1	6	21368	22890	386.21008	"Candidate Carnitine (delta mass 224.0976; sirius atomic difference: 16C, 13H, 1F; literature atomic difference: 12C, 16H, 4O)"	224.0976	C16H13F	CHF	0.000258926	20.699097
224.15	19	21418	22941	386.25946	"Candidate Carnitine (delta mass 224.147; sirius atomic difference: 7C, 20H, 4N, 4O; literature atomic difference: 13C, 20H, 3O)"	224.147	C7H20N4O4	CHNO	0.00038834	22.5167492
