precmz_massql	delta_mass_r2_massql	mass_defect_massql
256.85083	94.74	-0.0010122606962181323
257.09946	94.99	-3.889545314488453e-05
257.10999	95.0	0.0
257.12	95.01	3.889234598632979e-05
257.15302	95.04	0.0001555494078973144
257.16245	95.05	0.00019442962998679302
257.19	95.08	0.0003110540845289408
257.60809	95.5	-0.0019409328332817498
257.98001	95.87	-0.0005039150126399152
258.01932	95.91	-0.0003488110890300905
258.07001	95.96	-0.00015499670031402042
258.0972	95.98	-7.749018586794441e-05
258.10001	95.99	-3.874467110638669e-05
258.1087	96.0	0.0
258.16122	96.05	0.00019367742374318327
258.16995	96.06	0.00023240504946451854
258.18219	96.07	0.0002711263701031941
258.18927	96.08	0.000309850211823281
258.20633	96.09	0.0003485584571067774
258.20789	96.1	0.00038728483471203886
258.22	96.11	0.0004259933390132423
258.66199	96.55	-0.0017397221756470784
259.07245	96.96	-0.00015439696501888276
259.07898	96.97	-0.00011579480512082122
259.09216	96.98	-7.719260976478804e-05
259.10794	97.0	0.0
259.11758	97.01	3.859251850069423e-05
259.12787	97.02	7.718197197389853e-05
259.13983	97.03	0.00011576761472754356
259.15228	97.04	0.00015434940414186689
259.16531	97.05	0.00019292705493646956
259.1683	97.06	0.00023150979498650983
259.20001	97.09	0.0003472222088263168
259.21408	97.1	0.00038578151310296997
260.05319	97.94	-0.00023072203036618116
260.05826	97.95	-0.000192264610245401
260.09421	97.98	-7.689521423793333e-05
260.10999	98.0	0.0
260.12	98.01	3.8443795171478994e-05
260.13187	98.02	7.688408190813383e-05
260.13922	98.03	0.00011532286442621429
260.14758	98.04	0.00015375887794153708
260.15817	98.05	0.00019219077378964175
260.17209	98.06	0.00023061658919679766
260.18469	98.07	0.00026903965794449007
260.19	98.08	0.00030746761981628154
260.20358	98.09	0.0003458830197493955
260.67877	98.57	-0.0016495397764843176
261.02966	98.92	-0.0003064785817826154
261.03772	98.93	-0.00026816047887636004
261.04773	98.94	-0.0002298430252582632
261.05893	98.95	-0.00019152763707411643
261.08249	98.97	-0.00011490621220902687
261.09299	98.98	-7.660106079445497e-05
261.09799	98.99	-3.8299796945986126e-05
261.10797	99.0	0.0
261.14441	99.03	0.00011487896677551374
261.13	99.02	7.659020411287872e-05
261.14999	99.04	0.00015316868287073744
