scan	delta_mass_r2	repository
606	41.97	GNPS/MassIVE
607	41.97	GNPS/MassIVE
608	41.97	GNPS/MassIVE
609	41.97	GNPS/MassIVE
610	41.97	GNPS/MassIVE
611	41.97	GNPS/MassIVE
612	41.97	GNPS/MassIVE
613	41.97	GNPS/MassIVE
614	41.97	GNPS/MassIVE
615	41.97	GNPS/MassIVE
616	41.97	GNPS/MassIVE
617	41.97	GNPS/MassIVE
618	41.97	GNPS/MassIVE
619	41.97	GNPS/MassIVE
620	41.97	GNPS/MassIVE
621	41.97	GNPS/MassIVE
622	41.97	GNPS/MassIVE
623	41.97	GNPS/MassIVE
624	41.97	GNPS/MassIVE
625	41.97	GNPS/MassIVE
626	41.97	GNPS/MassIVE
627	41.97	GNPS/MassIVE
628	41.97	GNPS/MassIVE
629	41.97	GNPS/MassIVE
630	41.97	GNPS/MassIVE
631	41.97	MetaboLights
632	41.97	GNPS/MassIVE
633	41.97	GNPS/MassIVE
634	41.97	GNPS/MassIVE
635	41.97	GNPS/MassIVE
636	41.97	GNPS/MassIVE
637	41.97	GNPS/MassIVE
638	41.97	GNPS/MassIVE
639	41.97	GNPS/MassIVE
640	41.97	GNPS/MassIVE
641	41.97	GNPS/MassIVE
642	41.98	GNPS/MassIVE
643	41.98	GNPS/MassIVE
644	41.98	GNPS/MassIVE
645	41.98	GNPS/MassIVE
646	41.98	GNPS/MassIVE
647	41.98	GNPS/MassIVE
648	41.98	GNPS/MassIVE
649	41.98	GNPS/MassIVE
650	41.98	GNPS/MassIVE
651	41.98	GNPS/MassIVE
652	41.98	GNPS/MassIVE
653	41.98	GNPS/MassIVE
654	41.97	Metabolomics Workbench
655	41.98	GNPS/MassIVE
656	41.98	GNPS/MassIVE
657	41.99	Metabolomics Workbench
658	41.99	GNPS/MassIVE
659	41.99	GNPS/MassIVE
660	41.99	GNPS/MassIVE
661	41.99	GNPS/MassIVE
662	41.99	MetaboLights
663	41.99	GNPS/MassIVE
664	41.99	Metabolomics Workbench
665	41.99	GNPS/MassIVE
666	41.99	GNPS/MassIVE
667	41.99	GNPS/MassIVE
668	41.99	GNPS/MassIVE
669	41.99	GNPS/MassIVE
670	41.99	MetaboLights
671	41.99	GNPS/MassIVE
672	41.99	GNPS/MassIVE
673	41.99	GNPS/MassIVE
674	41.99	GNPS/MassIVE
675	41.99	GNPS/MassIVE
676	41.99	GNPS/MassIVE
677	42	GNPS/MassIVE
678	42	GNPS/MassIVE
679	42	GNPS/MassIVE
680	42	GNPS/MassIVE
681	42	GNPS/MassIVE
682	42	Metabolomics Workbench
683	42.01	Metabolomics Workbench
684	42.01	Metabolomics Workbench
685	42.01	Metabolomics Workbench
686	42.01	MetaboLights
687	42.02	MetaboLights
688	42.01	GNPS/MassIVE
689	42.01	GNPS/MassIVE
690	42.01	Metabolomics Workbench
691	42.01	MetaboLights
692	42.01	MetaboLights
693	42.01	MetaboLights
694	42.01	GNPS/MassIVE
695	42.01	GNPS/MassIVE
696	42.01	GNPS/MassIVE
697	42.01	GNPS/MassIVE
698	42.01	GNPS/MassIVE
699	42.01	GNPS/MassIVE
700	42.01	GNPS/MassIVE
701	42.01	GNPS/MassIVE
702	42.01	GNPS/MassIVE
703	42.01	GNPS/MassIVE
704	42.01	Metabolomics Workbench
705	42.01	GNPS/MassIVE
706	42.01	GNPS/MassIVE
