counts	precmz	delta_mass	delta_mass_r2	delta_MF_final	delta_MF_unique_combination
2	343.2229	181.1104	181.11	C10H15NO2	CHNO
2	343.2229	181.1104	181.11	C10H15NO2	CHNO
2	343.22296	181.11046	181.11	C10H15NO2	CHNO
2	343.2229	181.1104	181.11	C10H15NO2	CHNO
2	343.22308	181.11058	181.11	C10H15NO2	CHNO
2	343.22324	181.11074	181.11	C10H15NO2	CHNO
2	343.22324	181.11074	181.11	C10H15NO2	CHNO
2	343.22324	181.11074	181.11	C10H15NO2	CHNO
2	343.22336	181.11086	181.11	C10H15NO2	CHNO
4	350.17999	188.06749	188.07	C12H12S	CHS
24	350.18646	188.07396	188.07	C11H9FN2	CHFN
29	351.16	189.0475	189.05	C7H11NO3S	CHNOS
370	351.15823	189.04573	189.05	C7H11NO3S	CHNOS
11	351.15692	189.04442	189.04	C7H11NO3S	CHNOS
2	351.15689	189.04439	189.04	C7H11NO3S	CHNOS
2	351.15695	189.04445	189.04	C7H11NO3S	CHNOS
2	351.15753	189.04503	189.05	C7H11NO3S	CHNOS
3	351.16	189.0475	189.05	C7H11NO3S	CHNOS
3	351.15826	189.04576	189.05	C7H11NO3S	CHNOS
2	351.15817	189.04567	189.05	C7H11NO3S	CHNOS
4	351.15823	189.04573	189.05	C7H11NO3S	CHNOS
2	351.15823	189.04573	189.05	C7H11NO3S	CHNOS
2	351.16	189.0475	189.05	C7H11NO3S	CHNOS
7	351.16	189.0475	189.05	C7H11NO3S	CHNOS
2	351.15848	189.04598	189.05	C7H11NO3S	CHNOS
6	351.15863	189.04613	189.05	C7H11NO3S	CHNOS
3	351.16	189.0475	189.05	C7H11NO3S	CHNOS
3	351.16	189.0475	189.05	C7H11NO3S	CHNOS
3	351.16	189.0475	189.05	C7H11NO3S	CHNOS
2	352.19064	190.07814	190.08	C10H10N2O2	CHNO
2	360.21133	198.09883	198.1	C9H14N2O3	CHNO
7	360.21304	198.10054	198.1	C9H14N2O3	CHNO
140	362.23563	200.12313	200.12	C11H20OS	CHOS
2	362.23569	200.12319	200.12	C11H20OS	CHOS
6	362.24017	200.12767	200.13	C11H20OS	CHOS
5	362.2402	200.1277	200.13	C11H20OS	CHOS
2	364.19	202.0775	202.08	C16H10	CH
106	365.17001	203.05751	203.06	C8H13NO3S	CHNOS
42	365.17371	203.06121	203.06	C8H13NO3S	CHNOS
368	365.17429	203.06179	203.06	C8H13NO3S	CHNOS
41	365.17316	203.06066	203.06	C8H13NO3S	CHNOS
2	365.17294	203.06044	203.06	C8H13NO3S	CHNOS
2	365.17307	203.06057	203.06	C8H13NO3S	CHNOS
2	365.17322	203.06072	203.06	C8H13NO3S	CHNOS
8	365.17422	203.06172	203.06	C8H13NO3S	CHNOS
4	365.17386	203.06136	203.06	C8H13NO3S	CHNOS
2	365.17389	203.06139	203.06	C8H13NO3S	CHNOS
2	365.17435	203.06185	203.06	C8H13NO3S	CHNOS
2	365.17996	203.06746	203.07	C8H13NO3S	CHNOS
80	366.20001	204.08751	204.09	C10H17ClO2	CHClO
2	366.20001	204.08751	204.09	C10H17ClO2	CHClO
6	366.20587	204.09337	204.09	C10H17ClO2	CHClO
112	376.10596	213.99346	213.99	C8H6O5S	CHOS
13	379.19019	217.07769	217.08	C9H15NO3S	CHNOS
71	386.18204	224.06954	224.07	C12H8N4O	CHNO
120	390.12106	228.00856	228.01	C9H8O5S	CHOS
3	390.12109	228.00859	228.01	C9H8O5S	CHOS
3	390.12143	228.00893	228.01	C9H8O5S	CHOS
120	390.20001	228.08751	228.09	C12H17ClO2	CHClO
2	390.2041	228.0916	228.09	C12H17ClO2	CHClO
2	390.20358	228.09108	228.09	C12H17ClO2	CHClO
22	390.21225	228.09975	228.1	C12H17ClO2	CHClO
2	390.23141	228.11891	228.12	C12H20O2S	CHOS
4	392.23718	230.12468	230.12	C10H18N2O4	CHNO
3	392.24719	230.13469	230.13	C10H18N2O4	CHNO
109	393.17026	231.05776	231.06	C9H13NO4S	CHNOS
21	393.16882	231.05632	231.06	C9H13NO4S	CHNOS
9	393.16858	231.05608	231.06	C9H13NO4S	CHNOS
2	393.16806	231.05556	231.06	C9H13NO4S	CHNOS
2	393.16885	231.05635	231.06	C9H13NO4S	CHNOS
4	393.17017	231.05767	231.06	C9H13NO4S	CHNOS
3	394.26245	232.14995	232.15	C18H18NO-1	CHNO
8	406.23999	244.12749	244.13	C14H16N2O2	CHNO
2	407.17776	245.06526	245.07	C10H15NO4S	CHNOS
111	407.18558	245.07308	245.07	C10H15NO4S	CHNOS
14	407.18411	245.07161	245.07	C10H15NO4S	CHNOS
3	407.18469	245.07219	245.07	C10H15NO4S	CHNOS
2	407.18497	245.07247	245.07	C10H15NO4S	CHNOS
4	407.18536	245.07286	245.07	C10H15NO4S	CHNOS
55	407.18515	245.07265	245.07	C10H15NO4S	CHNOS
2	407.18329	245.07079	245.07	C10H15NO4S	CHNOS
2	407.1839	245.0714	245.07	C10H15NO4S	CHNOS
2	407.18433	245.07183	245.07	C10H15NO4S	CHNOS
3	407.185	245.0725	245.07	C10H15NO4S	CHNOS
2	407.18469	245.07219	245.07	C10H15NO4S	CHNOS
9	407.18478	245.07228	245.07	C10H15NO4S	CHNOS
3	407.18625	245.07375	245.07	C10H15NO4S	CHNOS
3	407.18503	245.07253	245.07	C10H15NO4S	CHNOS
2	407.18518	245.07268	245.07	C10H15NO4S	CHNOS
2	407.18716	245.07466	245.07	C10H15NO4S	CHNOS
66	407.18878	245.07628	245.08	C10H15NO4S	CHNOS
2	407.18869	245.07619	245.08	C10H15NO4S	CHNOS
2	407.19229	245.07979	245.08	C10H15NO4S	CHNOS
27	407.22342	245.11092	245.11	C11H19NO3S	CHNOS
416	407.22055	245.10805	245.11	C11H19NO3S	CHNOS
12	407.21979	245.10729	245.11	C11H19NO3S	CHNOS
2	407.21991	245.10741	245.11	C11H19NO3S	CHNOS
2	407.22018	245.10768	245.11	C11H19NO3S	CHNOS
2	407.22052	245.10802	245.11	C11H19NO3S	CHNOS
2	407.22052	245.10802	245.11	C11H19NO3S	CHNOS
2	407.22064	245.10814	245.11	C11H19NO3S	CHNOS
2	407.22073	245.10823	245.11	C11H19NO3S	CHNOS
2	407.22083	245.10833	245.11	C11H19NO3S	CHNOS
2	407.22086	245.10836	245.11	C11H19NO3S	CHNOS
2	407.22107	245.10857	245.11	C11H19NO3S	CHNOS
2	407.22128	245.10878	245.11	C11H19NO3S	CHNOS
2	407.22122	245.10872	245.11	C11H19NO3S	CHNOS
4	407.22131	245.10881	245.11	C11H19NO3S	CHNOS
2	407.22131	245.10881	245.11	C11H19NO3S	CHNOS
2	407.22134	245.10884	245.11	C11H19NO3S	CHNOS
2	407.22141	245.10891	245.11	C11H19NO3S	CHNOS
2	407.22165	245.10915	245.11	C11H19NO3S	CHNOS
7	408.20523	246.09273	246.09	C11H18O4S	CHOS
3	408.24005	246.12755	246.13	C11H14N6O	CHNO
2	408.24225	246.12975	246.13	C14H18N2O2	CHNO
14	408.2515	246.139	246.14	C14H18N2O2	CHNO
2	412.19	250.0775	250.08	C12H14N2O2S	CHNOS
5	412.20032	250.08782	250.09	C10H18O5S	CHOS
2	418.23999	256.12749	256.13	C15H16N2O2	CHNO
2	420.25113	258.13863	258.14	C15H18N2O2	CHNO
3	421.23676	259.12426	259.12	C12H21NO3S	CHNOS
4	426.2153	264.1028	264.1	C13H16N2O4	CHNO
