ATTRIBUTE_antibiotics_YN	filename	MS_1697	MS_15121	MS_18116	MS_1976	MS_19774	MS_23767	MS_22584	MS_21720	MS_24112	MS_25227	MS_19201	MS_25922	MS_24345	MS_27100	MS_25642	MS_26845	MS_20303	MS_21761	MS_23950	MS_25113	MS_20431	MS_21769
No	SS174_RG9_01_7507	275.96017	0.0	57.80429	52.30731	0.0	1022.74457	99.74402	0.0	926.12067	5034.3115	40.328716	363.27716	1212.984	2334.3198	4896.1465	4629.197	134.4307	142.62247	192.91052	203.02425	4.20883	7.775073
No	SS207_RB9_01_7550	0.0	0.0	211.91156	0.0	0.0	205.039	143.75291	0.0	278.01065	1001.55225	39.098293	184.87964	153.70209	221.25583	1214.584	858.47766	182.44821	129.33698	90.627365	113.28503	4.8868904	7.056552
No	SS183_RH6_01_7520	28.698334	0.0	84.60886	40.25637	0.0	892.16	85.17102	0.0	1014.264	5141.889	18.490368	374.11	1229.6702	2901.3093	5981.275	2875.6606	58.427547	77.2072	173.22531	216.93687	3.4388418	5.1830645
No	SS172_RG7_01_7505	839.6808	0.0	437.61746	165.4051	0.0	839.84064	379.74405	0.0	832.32385	7827.6167	59.885113	736.6382	960.174	3301.3506	5605.214	5598.369	383.15784	147.32565	379.27222	324.56006	6.94049	5.2755423
No	SS160_RF7_01_7492	0.0	0.0	153.13278	0.0	0.0	1518.4065	155.3391	0.0	1577.5328	9123.092	19.276873	470.6295	2300.6565	3005.7668	9754.233	5403.222	61.487885	66.410324	207.24315	335.05377	10.331871	2.845634
No	SS139_RD10_01_7466	0.0	0.0	25.11785	18.129107	0.0	501.85455	0.0	0.0	584.6803	4262.18	23.479868	262.79633	1100.0188	2107.7507	4971.1353	3570.8735	31.349821	39.3246	139.0334	267.2927	3.072966	0.0
No	SS93_RH9_01_7410	868.14655	0.0	404.1107	75.877785	25.965836	1866.1976	399.42035	2.9004214	2810.5422	8759.57	101.57407	493.0939	3092.0059	1860.7528	8990.284	5634.569	701.81866	223.30733	286.61038	370.23773	8.066495	5.9553375
No	SS126_RC9_01_7452	354.06042	0.0	69.953766	21.000328	0.0	636.24677	64.742714	5.9892526	738.8389	4171.0005	6.9723015	321.1034	1285.1881	3834.3008	4063.0957	3272.4275	35.48505	68.13729	158.16243	217.09929	3.6500454	0.0
No	SS119_RC2_01_7445	88.45187	0.0	31.484406	98.10429	0.0	670.0396	34.472626	0.0	562.09326	7151.387	0.0	476.7318	1002.01434	2493.8193	6785.0938	6215.433	3.2090607	2.9957352	210.41273	196.92075	0.0	0.0
No	SS128_RC11_01_7454	657.7206	0.0	253.73453	69.880264	225.02257	2092.844	767.525	0.0	2730.8672	6897.1304	744.58966	404.70438	1585.5713	2361.2822	6252.6377	4291.283	1237.4095	499.01312	411.83466	342.61887	10.942368	2.7071733
No	SS110_RB5_01_7435	69.44975	0.0	119.708725	65.719955	0.0	320.7255	177.32597	0.0	394.68903	3061.3904	46.328987	291.14246	745.6149	2934.3608	3219.5488	3356.0774	436.3996	135.00005	138.81018	184.25932	10.835203	3.8247118
No	SS132_RD3_01_7459	223.13702	0.0	52.80486	63.359432	0.0	532.3786	22.67943	0.0	560.54724	4952.7837	2.6693716	368.0541	909.3998	3907.603	4478.671	4683.213	3.8045597	18.634201	201.95975	254.04417	2.6681533	0.0
No	SS131_RD2_01_7458	63.487324	0.0	93.64935	10.224667	0.0	313.84357	103.69695	0.0	394.71347	4194.0205	8.625652	401.73196	382.84708	3459.4592	636.05786	5167.221	30.074173	28.536089	157.67923	250.14546	11.766006	5.8308687
No	SS134_RD5_01_7461	278.46893	0.0	60.29093	56.808044	0.0	946.2232	115.213776	50.686005	866.7585	3805.8975	44.709385	317.52646	1551.4524	1352.9379	4800.4106	4618.948	285.88098	184.85654	160.69604	213.4879	4.2522473	0.0
No	SS113_RB8_01_7438	200.82686	0.0	186.1095	41.619987	0.0	877.49023	262.37317	0.0	1254.5039	4353.1396	41.450768	307.60535	1620.0566	2832.6938	5651.891	2812.3682	340.94476	146.79263	164.97139	187.66911	0.0	3.0239968
No	SS169_RG4_01_7502	336.3371	0.0	332.88785	28.701302	0.0	911.3085	250.9042	14.415747	1096.5049	4403.344	5.011928	518.24396	796.15393	2676.3696	6306.871	4580.964	99.57043	322.8617	214.91896	313.5037	3.575409	4.0075345
No	SS101_RA8_01_7425	253.52658	0.0	237.60417	24.632496	313.77615	2595.3567	253.7997	0.0	2667.8057	4145.3364	787.29346	88.84598	2558.028	909.6105	4672.224	1620.2307	847.3376	747.82294	204.07668	151.27599	3.3108668	4.452997
No	SS154_RF1_01_7486	11.022241	0.0	0.0	0.0	0.0	243.67339	0.0	2.6184196	195.97456	1754.3391	0.0	100.43339	322.88565	0.0	2321.6484	1950.2365	17.575693	3.2790327	47.717815	127.846176	3.4485173	3.215478
No	SS98_RA5_01_7422	837.405	0.0	124.564606	103.375275	27.633402	831.5806	247.9403	0.0	1044.9926	4585.055	118.1373	529.62915	994.4231	743.36163	5690.546	3595.601	1679.7966	497.22488	181.95007	157.33963	3.863741	10.495714
No	SS94_RA1_01_7418	307.373	0.0	201.20712	22.850483	0.0	545.0635	127.24516	0.0	651.03656	2374.2322	65.22243	108.275696	840.2088	1325.9847	2407.083	1804.211	610.00256	149.89906	106.731346	89.153175	0.0	0.0
No	SS133_RD4_01_7460	10.02279	0.0	66.27229	4.2494574	0.0	321.06216	51.86947	0.0	493.2641	1267.9949	3.891505	85.15128	726.0713	193.85297	2378.8115	1571.7548	47.28694	49.803665	71.18624	105.58062	13.448537	3.0171297
No	SS100_RA7_01_7424	324.2469	0.0	122.218124	23.08178	33.316013	1550.507	129.51099	0.0	2150.1404	7955.36	87.10142	496.14166	3286.4355	1887.764	8923.248	4848.612	570.4654	302.6408	238.4442	223.57259	3.8072715	2.8821797
No	SS127_RC10_01_7453	163.44086	0.0	127.35057	4.848737	0.0	1025.1089	75.393	0.0	1344.2838	6964.1904	13.969545	464.5662	1726.8839	3882.7764	8454.63	4773.744	50.736984	98.6679	250.81923	329.19534	2.7105803	0.0
No	SS111_RB6_01_7436	476.59888	0.0	154.93259	35.43974	0.0	1517.7144	195.68706	0.0	1746.3472	8065.5615	5.152256	483.58975	2765.6301	3210.066	8807.754	5362.9175	83.48248	90.8889	410.18826	422.7504	3.3352103	6.4816766
