putative explanation	delta_mass_r2	precmz	mass_defect	counts
CAR C15:4;O3	264.14	426.24814	0.00032844718102461717	3
CAR C16:0	238.23000000000002	400.3428966666667	0.0005745072911646699	30500
CAR C16:0;O	254.225	416.33723499999996	0.0005404272499701359	6354
CAR C16:0;O2	270.22	432.33148	0.000508868796692823	29
CAR C16:1	236.215	398.328355	0.0005397556674948673	16937
CAR C16:1;O	252.21	414.31839	0.0005068565747226618	4031
CAR C16:1;O2	268.205	430.317415	0.00047639245521884836	2250
CAR C16:1;O3	284.2	446.31116	0.00044811785571301563	85
CAR C16:1;O4	300.19	462.30597	0.00041098322827195534	8
CAR C16:2	234.2	396.31018	0.000504655217284574	7938
CAR C16:2;O	250.195	412.30499499999996	0.0004729507080877544	1956
CAR C16:2;O2	266.19	428.30164	0.0004436125904164124	1439
CAR C16:2;O3	282.18	444.29465	0.00040513654620870815	141
CAR C16:3	232.185	394.29735	0.0004691889674912163	3237
CAR C16:3;O	248.18	410.28992	0.0004387141658269519	929
CAR C16:3;O2	264.175	426.286315	0.00041052213996750696	138
CAR C16:3;O3	280.17	442.28067	0.0003843713088343108	2
CAR C16:4	230.165	392.27812	0.00042061987681638567	2918
CAR C16:4;O	246.165	408.276915	0.000404137378741295	134
CAR C16:4;O2	262.16	424.26907	0.0003771191710958921	56
CAR C16:4;O3	278.15	440.263	0.00034070544197440457	14
CAR C16:5	228.155	390.26665	0.000397164239424758	636
CAR C16:5;O	244.15	406.25842	0.0003692231166556639	12
CAR C16:5;O2	260.14	422.25458	0.00033155353815223594	26
CAR C16:6;O2	258.13	420.23773	0.00030934871078804716	9
CAR C16:6;O3	274.12	436.23279	0.0002750824852024639	2
CAR C17:0	252.245	414.356445	0.0005912783261285749	3387
CAR C17:0;O	268.24	430.35339	0.0005576812117130275	35
CAR C17:0;O2	284.23	446.34747	0.0005152936119477012	8
CAR C17:0;O3	300.23	462.34192	0.0004974673289413562	15
CAR C17:1	250.23	412.34198	0.0005577894348763368	2127
